row_id,Answer
11,1997
12,15.3
13,1
14,136.6
15,1811.8
16,93.5
17,108
18,2025
19,50
20,1000
21,1200
22,3
23,2
24,1
25,70
26,80
27,50
28,9
29,50
30,3
31,13.4
32,83.7
33,400
34,70
35,50
36,2
37,10
38,80
39,6
40,0.05
41,9.6
42,46
43,19.8
44,30.6
45,112
46,20.4
47,35
48,20
49,15
50,10
51,8
52,20
53,30
54,4
55,2
56,10
57,5
58,100
59,40
60,100
61,500
62,100
63,10
64,30
65,95
66,0.8
67,2
68,3.5
69,20
70,21.0
71,200
72,40
73,3500
74,100
75,6000
76,60
77,120
78,570
79,3
80,2
81,2800
82,150
83,1050
84,4500
85,5000
86,1000
87,7
88,20
89,90
90,92
91,37
92,2
93,500
94,3
95,800
96,4
97,13
98,60
99,3
100,18
101,3
102,8
103,4
104,200
105,150
106,20
107,-100
108,20
109,1000
110,2
111,5000
112,90
113,100
114,10
115,15
116,25
117,180
118,50
119,30
120,10
121,2
122,2000
