text_id,job_title,company,salary,grade,tg
9,Python developer,Collectly,6000-9000 $,senior,@ann_gfio
31,Системный аналитик,АО «ГНИВЦ»,320000-370000 руб.,,@NatalyaMaki
28,Database Administrator,Match Systems,3000$,senior,@lex_kertis
49,Руководителя отдела системного администрирования,,3000$,lead,@ResearcherRIT
18,Analyst,Sirena Travel,120000-180000 руб.,,@ann_gfio
48,DevOps инженер,Mad Devs,5000$,senior,@recruiter_maddevs
41,Системный аналитик,Платформа,180000-300000 руб.,"middle+, senior, lead",@Alexandrabogdanova_96
6,Python/Django full-stack разработчика,ivelum,4000-6000 $,,@lebedevaoi
17,Go разработчик,КА Алешин Д.А.,500000 руб.,"middle, senior",@AleshinDmitry80
4,Разработчик (Vue.js / Golang) для написания телеграм приложения (апки),,,junior,
50,Lead UI/UX Designer,,,lead,@alesyaly
32,QA automation Engineer,CFPS,180000-250000 руб.,"middle, senior",@Ana_Itrecruiter
38,Full Stack PHP-разработчик,GetCourse,250000 руб.,senior,@Ritttka1
5,Frontend разработчик,Travelata,280000-320000 руб.,senior,@ann_gfio
33,React Developer,,180000-230000 руб.,middle+,
15,PHP-developer (Symfony),KT.Team,240000 руб.,,@innahotim
29,Retention Manager,,,,@alesyaly
19,Python developer,Skillbox,300000-400000 руб.,senior,@ann_gfio
24,Программист 1С:ЗУП,КСА,220000-250000 руб.,,@saras770
40,Системный аналитик,Amber,300000 руб.,"middle, senior",@Sholpan771
12,Tech Lead QA,RecruitIT,3000$+,lead,@ResearcherRIT
39,Backend Python разработчик,Траст Строй,,senior,@Lyubov_Vladim
45,Менеджер по развитию партнерской сети,AMBER,130000 руб.,,@Sholpan771
1,Full-stack разработчик,"КА ""АйтиКА""",300000-380000 руб.,"middle, senior",@artur_vv
26,C# Engineer,GGEM,17-20 $/час,,@AlexMayel
13,System Analyst,Brief,240000-300000 руб.,"middle+, senior",@smirnsvet
30,Разработчик PowerBuilder,Outlines Tech,290000 руб.,,@mnoita
20,Системный аналитик,INFOPRO,100000-200000 руб.,middle,@ann_gfio
22,Java developer,,200000-250000 руб.,"middle, middle+",@Sholpan771
47,PHP программист,100UP,150000-200000 руб.,,@romanenko_daria
43,IT Recruiter,AIPeople,,junior,@nastyaishiring
3,C/C++ Developer,NTS,140000-300000 руб.,"middle, senior",@ann_gfio
23,PHP developer,Водоходъ,180000-200000 руб.,"middle, senior",@ann_gfio
44,Python Developer,ALEX GROUP COMPANY,3000-3600 $,middle,@danilavaren
35,Go Developer / WB Portal,WILDBERRIES,150000-600000 руб.,,@hr_legoit
27,SDR (Sales Development Representative),Ptolemay,300-1000 $,None,"@Dmitriy_Ptolemay, @rinapina_ptolemay"
21,C# Developer,Sirena Travel,300000-400000 руб.,,@ann_gfio
37,Системный администратор,MANUFAQTURY,80000 руб.,,
16,Аналитик,Автомакон,,intern,@nikolaazzp
2,Копирайтер в сфере крипты,ALEX GROUP COMPANY,80000-140000 руб.,,@danilavaren
42,QA auto,Dreamsoft,,,@DreamITB
7,Системный аналитик,AWG,350000 руб.,senior,@ElivHR
34,Release manager,WILDBERRIES,150000-350000 руб.,,@invader_s
25,DevOps (Openstack Engineer),Mayflower,5000-6000 $,"middle, senior",@Alexandr_Mayel
46,Go Developer / WB Portal,WILDBERRIES,150000-600000 руб.,,@Fl_recruiter
36,Backend Engineer,Qlan,110000-140000 руб.,"middle+, senior",@laptev13
10,программист на верстку многостраничного сайта,,,,@vlrstrtsv
11,DWH developer,König Labs,250000-300000 руб.,,@HrKristinaorekhova
14,Frontend разработчик Angular,Nobilis.Team,180000-250000 руб.,middle,@Anna_HRinIT
8,HR Manager,ALEX GROUP COMPANY,70000-90000 руб.,junior,@danilavaren
